ACADEMIC_YEAR ACADEMIC_TERM EVENT_ID START_DATE PERSON_CODE_ID PEOPLE_ID STATUS_DATE LAST_YEAR LAST_TERM MID_GRADE FINAL_GRADE
2019 SPRING MATH116 09-Jan-2019 P100062478 3fe5d33b 31-Oct-2018 2020 SPRING C B-
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff002ed 09-Nov-2018 2019 SPRING A C
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff113ef 18-Dec-2018 2019 SPRING C- F
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff03ca9 18-Jan-2019 2019 FALL F F
2019 SPRING MATH116 09-Jan-2019 P100062478 3fe10de7 09-Nov-2018 2020 SPRING B C
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff10fd5 09-Nov-2018 2019 FALL B D
2019 SPRING MATH116 09-Jan-2019 P100062478 3fdfad7b 07-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P100062478 3fefe4d9 06-Nov-2018 2019 SPRING A A+
2019 SPRING MATH116 09-Jan-2019 P100062478 3fe87bbd 08-Nov-2018 2019 FALL B B-
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff00d65 08-Nov-2018 2020 SPRING C C-
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff09785 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fe9c2b1 02-Nov-2018 2020 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107180114 3fef0d39 11-Nov-2018 2019 FALL C D
2019 SPRING MATH116 09-Jan-2019 P107180114 3fea5fb9 01-Nov-2018 2020 SPRING F A
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff2374d 01-Nov-2018 2020 SPRING B+ A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fedf417 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fda7c25 02-Nov-2018 2019 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff0060d 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fee2d51 07-Nov-2018 2019 FALL A B
2019 SPRING MATH116 09-Jan-2019 P107180114 3fe82ae1 09-Nov-2018 2019 FALL A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fedf601 09-Nov-2018 2020 SPRING  W
2019 SPRING MATH116 09-Jan-2019 P107180114 3fe9dcfb 30-Oct-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3feba063 07-Nov-2018 2019 SPRING A W
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff09d2f 06-Nov-2018 2019 SPRING B C
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff0053b 25-Oct-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fdfec69 09-Nov-2018 2020 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff0da47 01-Nov-2018 2019 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fdfb393 09-Nov-2018 2019 FALL C B
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff00de7 25-Oct-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fdfb573 09-Nov-2018 2020 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff08aa1 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3ff00ddd 08-Nov-2018 2019 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107180114 3fe80953 26-Dec-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107180114 3fe66ad5 06-Nov-2018 2020 SPRING A A
