Semester Taken,ID,Mathrecommendation,Adjusted Score,Raw Score
SP2019,   3ff2f5d9,   MATH120,,35
SP2019,   3ff2f6a1,   MATH120,,35
SP2019,   3ff2f6c9,   MATH120,,32
SP2019,   3ff2f741,   MATH120,,28
SP2019,   3ff2f773,   MATH120,,23
SP2019,   3ff2f7ff,   MATH120,,25
SP2019,   3ff2f827,   MATH120,,28
SP2019,   3ff2f84f,   MATH112,,19
SP2019,   3ff2f8ef,   MATH115,,24
SP2019,   3ff2f93f,   MATH115,,15
SP2019,   3ff2f949,   MATH115,,6
SP2019,   3ff2f949,   MATH115,,7
SP2019,   3ff2f9fd,   MATH115,,16
SP2019,   3ff2fbfb,   MATH120,,33
SP2020,   3ff2fc41,   MATH120,,29
SP2019,   3ff2fc5f,   MATH112,,22
SP2019,   3ff2fd63,   MATH115,,18
SP2019,   3ff2fd77,   MATH115,,22
SP2019,   3ff2fe3f,   MATH112,,19
SP2019,   3ff2feb7,   MATH120,,30
SP2019,   3ff2ff11,   MATH120,,25
SP2019,   3ff2ff61,   MATH120,,25
SP2019,   3ff2ff61,   MATH120,,28
SP2019,   3ff2ff6b,   MATH112,,16
SP2019,   3ff2ff75,   MATH115,,20
SP2019,   3ff2ffe3,   MATH115,,23
SP2019,   3ff30015,   MATH115,,17
SP2019,   3ff300b5,   MATH112,,15
SP2019,   3ff30119,   MATH115,,21
SP2019,   3ff301af,   MATH120,,23
SP2019,   3ff301af,   MATH120,,23
SP2019,   3ff301af,   MATH120,,23
SP2019,   3ff301e1,   MATH120,,32
SP2019,   3ff3024f,   MATH115,,16
SP2019,   3ff3026d,   MATH120,,29
SP2019,   3ff3029f,   MATH112,,13
SP2019,   3ff302a9,   MATH120,,24
SP2019,   3ff30321,   MATH120,,31
SP2019,   3ff30367,   MATH115,,23
SP2019,   3ff303b7,   MATH120,,24
SP2019,   3ff303d5,   MATH115,,24
SP2019,   3ff3042f,   MATH120,,33
SP2019,   3ff30439,   MATH120,,30
SP2019,   3ff30461,   MATH115,,23
SP2019,   3ff305b5,   MATH120,,30
SP2019,   3ff3060f,   MATH112,,15
SP2019,   3ff30673,   MATH115,,20
SP2019,   3ff30673,   MATH115,,18
SP2019,   3ff306d7,   MATH120,,25
SP2019,   3ff306d7,   MATH120,,25
SP2019,   3ff308fd,   MATH120,,27
SP2019,   3ff30add,   MATH112,,8
SP2019,   3ff30afb,   MATH120,,33
SP2019,   3ff30b23,   MATH112,,21
SP2019,   3ff30beb,   MATH112,,12
SP2019,   3ff30d85,   MATH112,,15
SP2019,   3ff30e75,   MATH115,,14
SP2019,   3ff30e93,   MATH120,,26
SP2019,   3ff314b5,   MATH112,,10
SP2019,   3ff314fb,   MATH115,,24
SP2019,   3ff31631,   MATH120,,33
SP2019,   3ff31735,   MATH120,,35
SP2019,   3ff317c1,   MATH120,,24
SP2019,   3ff317d5,   MATH120,,32
SP2019,   3ff3191f,   MATH112,,14
SP2019,   3ff31a69,   MATH115,,18
SP2019,   3ff31af5,   MATH120,,36
SP2019,   3ff31b1d,   MATH120,,36
SP2019,   3ff31bdb,   MATH112,,17
SP2019,   3ff31ccb,   MATH112,,21
SP2019,   3ff31ce9,   MATH120,,29
SP2019,   3ff31d6b,   MATH120,,27
SP2019,   3ff31e15,   MATH120,,31
SP2019,   3ff31fc3,   MATH115,,14
SP2019,   3ff32045,   MATH112,,18
SP2019,   3ff320e5,   MATH115,,25
SP2019,   3ff3213f,   MATH120,,27
SP2019,   3ff32185,   MATH120,,28
SP2019,   3ff32211,   MATH120,,30
SP2019,   3ff322b1,   MATH120,,30
