2019,          FALL,        MATH117,        P008616066,    3fde4e31,        21-Aug-2019,        A,        A-,        
2019,          FALL,        MATH115,        P107265288,    3fde5935,        24-Jun-2019,        C+,        C+,        
2019,          FALL,        MATH209,        P107307329,    3fdebb2d,        18-Mar-2019,        A,        A,        
2019,          SPRING,        MATH117,        P107180113,    3fdebe11,        25-Oct-2018,        D,        C,        
2019,          SPRING,        MATH116,        P107265286,    3fdec447,        23-Oct-2018,        A,        A,        
2019,          FALL,        MATH120,        P089003876,    3fdec447,        28-Mar-2019,        A,        A,        
2019,          FALL,        MATH120,        P089003876,    3fdec4c9,        15-Jul-2019,        B,        B,        
2019,          FALL,        MATH112,        P107180114,    3fded26b,        21-Mar-2019,        A,        A,        
2019,          FALL,        MATH115,        P107265286,    3fdf3a99,        19-Jul-2019,        C,        C-,        
2019,          FALL,        MATH209,        P093001886,    3fdf49df,        03-Apr-2019,        C-,        C,        
2019,          FALL,        MATH117,        P008616066,    3fdf5015,        27-Mar-2019,        B,        B,        
2019,          SPRING,        MATH116,        P107265286,    3fdf5443,        22-Oct-2018,        B-,        C,        
2019,          SPRING,        MATH116,        P089009198,    3fdf5745,        07-Nov-2018,        C,        D,        
2019,          SPRING,        MATH209,        P100021964,    3fdf5a29,        08-Nov-2018,        C+,        C-,        
2019,          SPRING,        MATH209,        P107265288,    3fdf5e43,        08-Nov-2018,        F,        D+,        
2019,          FALL,        MATH209,        P100003700,    3fdf628f,        04-Apr-2019,        B+,        C-,        
2019,          SPRING,        MATH116,        P107266245,    3fdf6703,        07-Nov-2018,        A,        A,        
2019,          FALL,        MATH115,        P008616066,    3fdf703b,        08-Apr-2019,        A,        A,        
2019,          SPRING,        MATH209,        P093001886,    3fdf75d1,        06-Nov-2018,        D,        F,        
2019,          FALL,        MATH120,        P093001886,    3fdf7d01,        28-Mar-2019,        A,        B+,        
2019,          SPRING,        MATH209,        P008616066,    3fdf7f63,        07-Nov-2018,        A,        A-,        
2019,          SPRING,        MATH116,        P107266245,    3fdf87bf,        09-Nov-2018,        C,        D,        
2019,          SPRING,        MATH115,        P008616066,    3fdfab05,        01-Nov-2018,        F,        F,        
2019,          SPRING,        MATH116,        P100062478,    3fdfad7b,        07-Nov-2018,        A,        A,        
2019,          FALL,        MATH116,        P107265286,    3fdfaf33,        27-Mar-2019,        A,        A+,        
2019,          SPRING,        MATH116,        P107180114,    3fdfb393,        09-Nov-2018,        C,        B,        
2019,          FALL,        MATH209,        P107265288,    3fdfb393,        04-Apr-2019,        D,        D-,        
2019,          SPRING,        MATH116,        P107180114,    3fdfb573,        09-Nov-2018,        B,        B,        
2019,          FALL,        MATH117,        P008616066,    3fdfb573,        04-Apr-2019,        ,        W,        
2019,          FALL,        MATH209,        P100003700,    3fdfb771,        05-Apr-2019,        C,        F,        
2019,          SPRING,        MATH209,        P008616066,    3fdfbb45,        06-Nov-2018,        A+,        A,        
2019,          SPRING,        MATH116,        P100062478,    3fdfcd6f,        09-Nov-2018,        A,        A-,        
2019,          FALL,        MATH209,        P107307329,    3fdfcd6f,        03-Apr-2019,        F,        W,        
2019,          SPRING,        MATH209,        P100062478,    3fdfd693,        09-Nov-2018,        B-,        C,        
2019,          SPRING,        MATH209,        P100003700,    3fdfdbd9,        09-Nov-2018,        F,        D-,        
2019,          FALL,        MATH116,        P089003876,    3fdfe6b5,        18-Jun-2019,        B,        B,        
2019,          SPRING,        MATH116,        P107180114,    3fdfec69,        09-Nov-2018,        B,        B,        
2019,          SPRING,        MATH209,        P100003700,    3fdff425,        06-Nov-2018,        B,        C,        
2019,          SPRING,        MATH117,        P107265286,    3fdff5ab,        09-Nov-2018,        B,        C,        
2019,          FALL,        MATH209,        P100003700,    3fdff5ab,        22-Aug-2019,        C+,        F,        
2019,          SPRING,        MATH120,        P107180114,    3fdffbe1,        08-Nov-2018,        B,        B,        
2019,          FALL,        MATH209,        P107265288,    3fdffbe1,        04-Apr-2019,        A,        A,        
2019,          SPRING,        MATH116,        P089009198,    3fdffc77,        09-Jan-2019,        B,        B,        
2019,          SPRING,        MATH116,        P107266245,    3fdfffc9,        08-Nov-2018,        C,        C,        
